"","GroupID","Param","Value","GroupLevel"
"346","96","SiteCount","1","Site"
"347","97","ParticipantCount","5","Site"
"348","97","SiteCount","1","Site"
"349","98","ParticipantCount","2","Site"
"350","98","SiteCount","1","Site"
"351","99","ParticipantCount","1","Site"
"352","99","SiteCount","1","Site"
"353","AA-AA-000-0000","ParticipantCount","1301","Study"
"354","AA-AA-000-0000","SiteCount","176","Study"
"355","China","ParticipantCount","257","Country"
"356","China","SiteCount","46","Country"
"357","Japan","ParticipantCount","165","Country"
"358","Japan","SiteCount","38","Country"
"359","US","ParticipantCount","879","Country"
"360","US","SiteCount","92","Country"
"361","10","Status","Active","Site"
"362","10","InvestigatorFirstName","Ariel","Site"
"363","10","InvestigatorLastName","Torres","Site"
"364","10","City","city 1","Site"
"365","10","State","state 1","Site"
"366","10","Country","China","Site"
"367","10","protocol_row_id","1-1G9113","Site"
"368","10","site_num","10","Site"
"369","10","site_row_id","123-1234-0X126","Site"
"370","10","protocol","AA-AA-000-0000","Site"
"371","10","pi_number","0X126","Site"
"372","10","pi_last_name","Torres","Site"
"373","10","pi_first_name","Ariel","Site"
"374","10","site_status","Active","Site"
"375","10","is_satellite","FALSE","Site"
"376","10","account","city 1 Medical Center","Site"
"377","10","site_active_dt","2004-01-31","Site"
"378","10","city","city 1","Site"
"379","10","state","state 1","Site"
"380","10","country","China","Site"
"381","100","Status","Active","Site"
"382","100","InvestigatorFirstName","Cheyenne","Site"
"383","100","InvestigatorLastName","Spangler","Site"
"384","100","City","city 1","Site"
"385","100","State","state 1","Site"
"386","100","Country","Japan","Site"
"387","100","protocol_row_id","1-1G9113","Site"
"388","100","site_num","100","Site"
"389","100","site_row_id","123-1234-X060X","Site"
"390","100","protocol","AA-AA-000-0000","Site"
"391","100","pi_number","X060X","Site"
"392","100","pi_last_name","Spangler","Site"
"393","100","pi_first_name","Cheyenne","Site"
"394","100","site_status","Active","Site"
"395","100","is_satellite","FALSE","Site"
"396","100","account","city 1 Medical Center","Site"
"397","100","site_active_dt","2011-09-29","Site"
"398","100","city","city 1","Site"
"399","100","state","state 1","Site"
"400","100","country","Japan","Site"
"401","101","Status","Active","Site"
"402","101","InvestigatorFirstName","Macallyson","Site"
"403","101","InvestigatorLastName","Broughton","Site"
"404","101","City","city 1","Site"
"405","101","State","state 1","Site"
"406","101","Country","US","Site"
"407","101","protocol_row_id","1-1G9113","Site"
"408","101","site_num","101","Site"
"409","101","site_row_id","123-1234-0X174","Site"
"410","101","protocol","AA-AA-000-0000","Site"
"411","101","pi_number","0X174","Site"
"412","101","pi_last_name","Broughton","Site"
"413","101","pi_first_name","Macallyson","Site"
"414","101","site_status","Active","Site"
"415","101","is_satellite","FALSE","Site"
"416","101","account","city 1 Medical Center","Site"
"417","101","site_active_dt","2006-03-03","Site"
"418","101","city","city 1","Site"
"419","101","state","state 1","Site"
"420","101","country","US","Site"
"421","102","Status","Active","Site"
"422","102","InvestigatorFirstName","Asa","Site"
"423","102","InvestigatorLastName","Lester","Site"
"424","102","City","city 1","Site"
"425","102","State","state 1","Site"
"426","102","Country","US","Site"
"427","102","protocol_row_id","1-1G9113","Site"
"428","102","site_num","102","Site"
"429","102","site_row_id","123-1234-0X073","Site"
"430","102","protocol","AA-AA-000-0000","Site"
"431","102","pi_number","0X073","Site"
"432","102","pi_last_name","Lester","Site"
"433","102","pi_first_name","Asa","Site"
"434","102","site_status","Active","Site"
"435","102","is_satellite","FALSE","Site"
"436","102","account","city 1 Medical Center","Site"
"437","102","site_active_dt","2012-09-18","Site"
"438","102","city","city 1","Site"
"439","102","state","state 1","Site"
"440","102","country","US","Site"
"441","103","Status","Active","Site"
"442","103","InvestigatorFirstName","Manaal","Site"
"443","103","InvestigatorLastName","Salazar","Site"
"444","103","City","city 1","Site"
"445","103","State","state 1","Site"
"446","103","Country","Japan","Site"
"447","103","protocol_row_id","1-1G9113","Site"
"448","103","site_num","103","Site"
"449","103","site_row_id","123-1234-0X176","Site"
"450","103","protocol","AA-AA-000-0000","Site"
"451","103","pi_number","0X176","Site"
"452","103","pi_last_name","Salazar","Site"
"453","103","pi_first_name","Manaal","Site"
"454","103","site_status","Active","Site"
"455","103","is_satellite","TRUE","Site"
"456","103","account","city 1 Medical Center","Site"
"457","103","site_active_dt","2008-03-14","Site"
"458","103","city","city 1","Site"
"459","103","state","state 1","Site"
"460","103","country","Japan","Site"
"461","104","Status","Active","Site"
"462","104","InvestigatorFirstName","Dominico","Site"
"463","104","InvestigatorLastName","Rollins","Site"
"464","104","City","city 1","Site"
"465","104","State","state 1","Site"
"466","104","Country","US","Site"
"467","104","protocol_row_id","1-1G9113","Site"
"468","104","site_num","104","Site"
"469","104","site_row_id","123-1234-0X140","Site"
"470","104","protocol","AA-AA-000-0000","Site"
"471","104","pi_number","0X140","Site"
"472","104","pi_last_name","Rollins","Site"
"473","104","pi_first_name","Dominico","Site"
"474","104","site_status","Active","Site"
"475","104","is_satellite","FALSE","Site"
"476","104","account","city 1 Medical Center","Site"
"477","104","site_active_dt","2005-02-28","Site"
"478","104","city","city 1","Site"
"479","104","state","state 1","Site"
"480","104","country","US","Site"
"481","105","Status","Active","Site"
"482","105","InvestigatorFirstName","Brandon","Site"
"483","105","InvestigatorLastName","Terry","Site"
"484","105","City","city 1","Site"
"485","105","State","state 1","Site"
"486","105","Country","US","Site"
"487","105","protocol_row_id","1-1G9113","Site"
"488","105","site_num","105","Site"
"489","105","site_row_id","123-1234-0X179","Site"
"490","105","protocol","AA-AA-000-0000","Site"
"491","105","pi_number","0X179","Site"
"492","105","pi_last_name","Terry","Site"
"493","105","pi_first_name","Brandon","Site"
"494","105","site_status","Active","Site"
"495","105","is_satellite","FALSE","Site"
"496","105","account","city 1 Medical Center","Site"
"497","105","site_active_dt","2007-06-04","Site"
"498","105","city","city 1","Site"
"499","105","state","state 1","Site"
"500","105","country","US","Site"
"501","106","Status","Active","Site"
"502","106","InvestigatorFirstName","Gabriella","Site"
"503","106","InvestigatorLastName","Porter","Site"
"504","106","City","city 1","Site"
"505","106","State","state 1","Site"
"506","106","Country","US","Site"
"507","106","protocol_row_id","1-1G9113","Site"
"508","106","site_num","106","Site"
"509","106","site_row_id","123-1234-0X040","Site"
"510","106","protocol","AA-AA-000-0000","Site"
"511","106","pi_number","0X040","Site"
"512","106","pi_last_name","Porter","Site"
"513","106","pi_first_name","Gabriella","Site"
"514","106","site_status","Active","Site"
"515","106","is_satellite","FALSE","Site"
"516","106","account","city 1 Medical Center","Site"
"517","106","site_active_dt","2003-11-29","Site"
"518","106","city","city 1","Site"
"519","106","state","state 1","Site"
"520","106","country","US","Site"
"521","107","Status","Active","Site"
"522","107","InvestigatorFirstName","Peter","Site"
"523","107","InvestigatorLastName","Lopez","Site"
"524","107","City","city 1","Site"
"525","107","State","state 1","Site"
"526","107","Country","US","Site"
"527","107","protocol_row_id","1-1G9113","Site"
"528","107","site_num","107","Site"
"529","107","site_row_id","123-1234-0X072","Site"
"530","107","protocol","AA-AA-000-0000","Site"
"531","107","pi_number","0X072","Site"
"532","107","pi_last_name","Lopez","Site"
"533","107","pi_first_name","Peter","Site"
"534","107","site_status","Active","Site"
"535","107","is_satellite","FALSE","Site"
"536","107","account","city 1 Medical Center","Site"
"537","107","site_active_dt","2007-10-03","Site"
"538","107","city","city 1","Site"
"539","107","state","state 1","Site"
"540","107","country","US","Site"
"541","109","Status","Active","Site"
"542","109","InvestigatorFirstName","Brandon","Site"
"543","109","InvestigatorLastName","Pascual","Site"
"544","109","City","city 1","Site"
"545","109","State","state 1","Site"
"546","109","Country","China","Site"
"547","109","protocol_row_id","1-1G9113","Site"
"548","109","site_num","109","Site"
"549","109","site_row_id","123-1234-0X127","Site"
"550","109","protocol","AA-AA-000-0000","Site"
"551","109","pi_number","0X127","Site"
"552","109","pi_last_name","Pascual","Site"
"553","109","pi_first_name","Brandon","Site"
"554","109","site_status","Active","Site"
"555","109","is_satellite","FALSE","Site"
"556","109","account","city 1 Medical Center","Site"
"557","109","site_active_dt","2010-12-11","Site"
"558","109","city","city 1","Site"
"559","109","state","state 1","Site"
"560","109","country","China","Site"
"561","11","Status","Active","Site"
"562","11","InvestigatorFirstName","Michael","Site"
"563","11","InvestigatorLastName","Ashcroft-Bitsilly","Site"
"564","11","City","city 1","Site"
"565","11","State","state 1","Site"
"566","11","Country","China","Site"
"567","11","protocol_row_id","1-1G9113","Site"
"568","11","site_num","11","Site"
"569","11","site_row_id","123-1234-0X156","Site"
"570","11","protocol","AA-AA-000-0000","Site"
"571","11","pi_number","0X156","Site"
"572","11","pi_last_name","Ashcroft-Bitsilly","Site"
"573","11","pi_first_name","Michael","Site"
"574","11","site_status","Active","Site"
"575","11","is_satellite","FALSE","Site"
"576","11","account","city 1 Medical Center","Site"
"577","11","site_active_dt","2005-08-12","Site"
"578","11","city","city 1","Site"
"579","11","state","state 1","Site"
"580","11","country","China","Site"
"581","110","Status","Active","Site"
"582","110","InvestigatorFirstName","Trang","Site"
"583","110","InvestigatorLastName","al-Rais","Site"
"584","110","City","city 1","Site"
"585","110","State","state 1","Site"
"586","110","Country","China","Site"
"587","110","protocol_row_id","1-1G9113","Site"
"588","110","site_num","110","Site"
"589","110","site_row_id","123-1234-0X181","Site"
"590","110","protocol","AA-AA-000-0000","Site"
"591","110","pi_number","0X181","Site"
"592","110","pi_last_name","al-Rais","Site"
"593","110","pi_first_name","Trang","Site"
"594","110","site_status","Active","Site"
"595","110","is_satellite","FALSE","Site"
"596","110","account","city 1 Medical Center","Site"
"597","110","site_active_dt","2017-05-01","Site"
"598","110","city","city 1","Site"
"599","110","state","state 1","Site"
"600","110","country","China","Site"
"601","111","Status","Active","Site"
"602","111","InvestigatorFirstName","Yueh-Ya","Site"
"603","111","InvestigatorLastName","Mancilla","Site"
"604","111","City","city 1","Site"
"605","111","State","state 1","Site"
"606","111","Country","US","Site"
"607","111","protocol_row_id","1-1G9113","Site"
"608","111","site_num","111","Site"
"609","111","site_row_id","123-1234-0X114","Site"
"610","111","protocol","AA-AA-000-0000","Site"
"611","111","pi_number","0X114","Site"
"612","111","pi_last_name","Mancilla","Site"
"613","111","pi_first_name","Yueh-Ya","Site"
"614","111","site_status","Active","Site"
"615","111","is_satellite","TRUE","Site"
"616","111","account","city 1 Medical Center","Site"
"617","111","site_active_dt","2004-05-15","Site"
"618","111","city","city 1","Site"
"619","111","state","state 1","Site"
"620","111","country","US","Site"
"621","112","Status","Active","Site"
"622","112","InvestigatorFirstName","Trevor","Site"
"623","112","InvestigatorLastName","el-Dia","Site"
"624","112","City","city 1","Site"
"625","112","State","state 1","Site"
"626","112","Country","Japan","Site"
"627","112","protocol_row_id","1-1G9113","Site"
"628","112","site_num","112","Site"
"629","112","site_row_id","123-1234-0X118","Site"
"630","112","protocol","AA-AA-000-0000","Site"
"631","112","pi_number","0X118","Site"
"632","112","pi_last_name","el-Dia","Site"
"633","112","pi_first_name","Trevor","Site"
"634","112","site_status","Active","Site"
"635","112","is_satellite","FALSE","Site"
"636","112","account","city 1 Medical Center","Site"
"637","112","site_active_dt","2008-11-03","Site"
"638","112","city","city 1","Site"
"639","112","state","state 1","Site"
"640","112","country","Japan","Site"
"641","113","Status","Active","Site"
"642","113","InvestigatorFirstName","Brittany","Site"
"643","113","InvestigatorLastName","al-Hasen","Site"
"644","113","City","city 1","Site"
"645","113","State","state 1","Site"
"646","113","Country","China","Site"
"647","113","protocol_row_id","1-1G9113","Site"
"648","113","site_num","113","Site"
"649","113","site_row_id","123-1234-X187X","Site"
"650","113","protocol","AA-AA-000-0000","Site"
"651","113","pi_number","X187X","Site"
"652","113","pi_last_name","al-Hasen","Site"
"653","113","pi_first_name","Brittany","Site"
"654","113","site_status","Active","Site"
"655","113","is_satellite","FALSE","Site"
"656","113","account","city 1 Medical Center","Site"
"657","113","site_active_dt","2004-07-01","Site"
"658","113","city","city 1","Site"
"659","113","state","state 1","Site"
"660","113","country","China","Site"
"661","114","Status","Active","Site"
"662","114","InvestigatorFirstName","Aatika","Site"
"663","114","InvestigatorLastName","el-Shaker","Site"
"664","114","City","city 1","Site"
"665","114","State","state 1","Site"
"666","114","Country","US","Site"
"667","114","protocol_row_id","1-1G9113","Site"
"668","114","site_num","114","Site"
"669","114","site_row_id","123-1234-0X016","Site"
"670","114","protocol","AA-AA-000-0000","Site"
"671","114","pi_number","0X016","Site"
"672","114","pi_last_name","el-Shaker","Site"
"673","114","pi_first_name","Aatika","Site"
"674","114","site_status","Active","Site"
"675","114","is_satellite","FALSE","Site"
"676","114","account","city 1 Medical Center","Site"
"677","114","site_active_dt","2005-04-02","Site"
"678","114","city","city 1","Site"
"679","114","state","state 1","Site"
"680","114","country","US","Site"
"681","115","Status","Active","Site"
"682","115","InvestigatorFirstName","Sabriyya","Site"
"683","115","InvestigatorLastName","el-Mostafa","Site"
"684","115","City","city 1","Site"
"685","115","State","state 1","Site"
"686","115","Country","US","Site"
"687","115","protocol_row_id","1-1G9113","Site"
"688","115","site_num","115","Site"
"689","115","site_row_id","123-1234-0X037","Site"
"690","115","protocol","AA-AA-000-0000","Site"
"691","115","pi_number","0X037","Site"
"692","115","pi_last_name","el-Mostafa","Site"
"693","115","pi_first_name","Sabriyya","Site"
"694","115","site_status","Active","Site"
"695","115","is_satellite","TRUE","Site"
"696","115","account","city 1 Medical Center","Site"
"697","115","site_active_dt","2011-01-25","Site"
"698","115","city","city 1","Site"
"699","115","state","state 1","Site"
"700","115","country","US","Site"
"701","116","Status","Active","Site"
"702","116","InvestigatorFirstName","Alexander","Site"
"703","116","InvestigatorLastName","Patalan","Site"
"704","116","City","city 1","Site"
"705","116","State","state 1","Site"
"706","116","Country","China","Site"
"707","116","protocol_row_id","1-1G9113","Site"
"708","116","site_num","116","Site"
"709","116","site_row_id","123-1234-0X105","Site"
"710","116","protocol","AA-AA-000-0000","Site"
"711","116","pi_number","0X105","Site"
"712","116","pi_last_name","Patalan","Site"
"713","116","pi_first_name","Alexander","Site"
"714","116","site_status","Active","Site"
"715","116","is_satellite","FALSE","Site"
"716","116","account","city 1 Medical Center","Site"
"717","116","site_active_dt","2006-03-05","Site"
"718","116","city","city 1","Site"
"719","116","state","state 1","Site"
"720","116","country","China","Site"
"721","117","Status","Active","Site"
"722","117","InvestigatorFirstName","Nazeeha","Site"
"723","117","InvestigatorLastName","al-Badour","Site"
"724","117","City","city 1","Site"
"725","117","State","state 1","Site"
"726","117","Country","China","Site"
"727","117","protocol_row_id","1-1G9113","Site"
"728","117","site_num","117","Site"
"729","117","site_row_id","123-1234-0X092","Site"
"730","117","protocol","AA-AA-000-0000","Site"
"731","117","pi_number","0X092","Site"
"732","117","pi_last_name","al-Badour","Site"
"733","117","pi_first_name","Nazeeha","Site"
"734","117","site_status","Active","Site"
"735","117","is_satellite","FALSE","Site"
"736","117","account","city 1 Medical Center","Site"
"737","117","site_active_dt","2017-09-01","Site"
"738","117","city","city 1","Site"
"739","117","state","state 1","Site"
"740","117","country","China","Site"
"741","118","Status","Active","Site"
"742","118","InvestigatorFirstName","Mujaahida","Site"
"743","118","InvestigatorLastName","Farr","Site"
"744","118","City","city 1","Site"
"745","118","State","state 1","Site"
"746","118","Country","US","Site"
"747","118","protocol_row_id","1-1G9113","Site"
"748","118","site_num","118","Site"
"749","118","site_row_id","123-1234-0X076","Site"
"750","118","protocol","AA-AA-000-0000","Site"
